id,DASP,1,2,3,4,5,6,7,8,9,10,AnalysisTime
0120a2934d0ffe4b904830fe899f554b,[4],0,0,0,1,0,0,0,0,0,0,
01dd4a2eacf1f751bcf9070bca20c3a2,[1],1,0,0,0,0,0,0,0,0,0,
0345fd45c66b19acd3d1ea62659fe7c6,[],0,0,0,0,0,0,0,0,0,0,
037b28dd4a4145b2363c3e823896d5ba,[4],0,0,0,1,0,0,0,0,0,0,
03d0baf5a3e31dda5d1efe05d40658d8,[10],0,0,0,0,0,0,0,0,0,1,
04a8004f4d161150f9a5bad912ea1df3,[],0,0,0,0,0,0,0,0,0,0,
050d9b669e0a36a25d8bcdfdab64cc2d,[],0,0,0,0,0,0,0,0,0,0,
0577326ac4a685c6148dde8eac56236f,[10],0,0,0,0,0,0,0,0,0,1,
05a16bca48750b9ea9e52f8412b4cf63,[9],0,0,0,0,0,0,0,0,1,0,
05fecfbf66b19b64ef7b468b71052fd5,"[2, 4]",0,1,0,1,0,0,0,0,0,0,
0613172bdabca2110b68a474022387b6,[5],0,0,0,0,1,0,0,0,0,0,
06c72a09a66dc22c9898ab9ca5cdaae9,[2],0,1,0,0,0,0,0,0,0,0,
07601b034f8e36319188e57a49bd5ce8,[],0,0,0,0,0,0,0,0,0,0,
0761a37c97dccdc9d7f9d036e8588207,[7],0,0,0,0,0,0,1,0,0,0,
07645408707f4f4bf4775fa41370f6f9,[],0,0,0,0,0,0,0,0,0,0,
07dfae0441fd39d7c11c113600f30091,[3],0,0,1,0,0,0,0,0,0,0,
07e178810f331d9443ca152241111e46,[],0,0,0,0,0,0,0,0,0,0,
081234acd7c565a6692e5ecd767fa464,[7],0,0,0,0,0,0,1,0,0,0,
0814bc7337c9aea7604bcf1e34602eec,[],0,0,0,0,0,0,0,0,0,0,
092bef56912fc2d068ff495b84c5981c,[10],0,0,0,0,0,0,0,0,0,1,
0970ec7cf5331089986386e015e189a9,[10],0,0,0,0,0,0,0,0,0,1,
0a657914023ad144786c19dd4d3c02c8,"[2, 4]",0,1,0,1,0,0,0,0,0,0,
0ad31049154df70d7a12c76e3147f1b3,[10],0,0,0,0,0,0,0,0,0,1,
0b15062b3b1ad7158064ee8a49e9aea5,[],0,0,0,0,0,0,0,0,0,0,
0b4e8eb359864e1ebeab51328cd56bdc,[],0,0,0,0,0,0,0,0,0,0,
0c0e4d519a4ee4389b9292f0b149f2d4,[4],0,0,0,1,0,0,0,0,0,0,
0c11eade660c549fd30cc7b4007f6ef2,[6],0,0,0,0,0,1,0,0,0,0,
0c7b631a8ef6749bf461c2a5c41b1c3b,[],0,0,0,0,0,0,0,0,0,0,
0cd3887e363031fd0f04b1d477509287,[],0,0,0,0,0,0,0,0,0,0,
0cdc64278f3169e4b4be494f50a9067f,[1],1,0,0,0,0,0,0,0,0,0,
0d379be1f89da0c9303fb0bf0000422d,[],0,0,0,0,0,0,0,0,0,0,
0dbc325aa6f6923e3a4a925e3830c38a,[8],0,0,0,0,0,0,0,1,0,0,
0ddd1c046d2a572672c87f87e287a176,[1],1,0,0,0,0,0,0,0,0,0,
0e7d44697efe5ffbd4a6888f9254516c,[10],0,0,0,0,0,0,0,0,0,1,
0f38a6a31712df8e7e341cd036fd9aa5,[],0,0,0,0,0,0,0,0,0,0,
0f77d5a3a5121cabb56b39ee1e11aac4,[4],0,0,0,1,0,0,0,0,0,0,
102a618824753eaad17a77509c445010,[5],0,0,0,0,1,0,0,0,0,0,
12232158c649c2dd6591ae7adf8d4b0d,[4],0,0,0,1,0,0,0,0,0,0,
12cb73a15ca26bf59c4183bd067c5906,[],0,0,0,0,0,0,0,0,0,0,
12d3b6e46ba8276510e366c348bc13cf,[3],0,0,1,0,0,0,0,0,0,0,
1493bd69dd6c68eaa0a679ca252d5f5a,[],0,0,0,0,0,0,0,0,0,0,
14a8bbda468794fcd892b35ed3832087,[],0,0,0,0,0,0,0,0,0,0,
160b5628c19386cb7ca4da92e9da26f0,[8],0,0,0,0,0,0,0,1,0,0,
1624d9e1c8e1da02b7c60e3ff0c65287,[],0,0,0,0,0,0,0,0,0,0,
170efd3c08dd99667ce0bafd8e9ef6e3,[8],0,0,0,0,0,0,0,1,0,0,
17186f654d31fa50dc5f33c4eb221a23,[4],0,0,0,1,0,0,0,0,0,0,
17b002d621d0adb10714b85f9514369d,[2],0,1,0,0,0,0,0,0,0,0,
188ab807816ab491981f51fb9c18ac69,[4],0,0,0,1,0,0,0,0,0,0,
1911c4c3b3a9a2814a7b7a52f1de6008,[1],1,0,0,0,0,0,0,0,0,0,
19925cf07a2ade1cf6893df777230fc9,[2],0,1,0,0,0,0,0,0,0,0,
1b08279b5a676f50fc77288e962e7632,[2],0,1,0,0,0,0,0,0,0,0,
1b15a0a530394a1ff5768af418ebfecc,[3],0,0,1,0,0,0,0,0,0,0,
1b1bfab3b26b94f0cfc340fde62736c8,"[2, 4]",0,1,0,1,0,0,0,0,0,0,
1b3486dac06eb803b92f74b3f15e66e5,[3],0,0,1,0,0,0,0,0,0,0,
1ba89f80d689bee67f579860b18bd57f,[2],0,1,0,0,0,0,0,0,0,0,
1c75347da7163c0e38239167e91113fb,[4],0,0,0,1,0,0,0,0,0,0,
1ca318bb82d5b2a6ebf9b840b5dd7b13,[],0,0,0,0,0,0,0,0,0,0,
1ce0fc02d1818d9abede82a0d7a27e4b,[4],0,0,0,1,0,0,0,0,0,0,
1cf130ed8e308a1667380df4f5484b8f,[3],0,0,1,0,0,0,0,0,0,0,
1cf153af08c7cae772599957cbc3b779,[],0,0,0,0,0,0,0,0,0,0,
1cf4ed67642a496429b5e106368e4a23,[10],0,0,0,0,0,0,0,0,0,1,
1d89df53144c08b845b4fc9facfe34ef,[2],0,1,0,0,0,0,0,0,0,0,
